hash,mode,max_iters,wlhash,stabilized_at,cpu_time_s,max_mem_kib,local,isohash,family,result,track,clauses,variables,bytes,cls1,cls2,cls3,cls4,cls5,cls6,cls7,cls8,cls9,cls10p,horn,invhorn,positive,negative
f54402643c1cb681469478e46521d610,nomode,9,066140a22f0ea60d,NA,1.2155,64148,/nfs/share/instances/gbd/cnf/f54402643c1cb681469478e46521d610-45-118127.cnf.xz,86c7930f055c5bdbc5da5fe31ca72e15,station-repacking,unknown,None,707751,29398,10900200,3,706382,1,1,3,2,0,9,3,1347,706385,1369,1369,706382
26d8c9965d9e17f302cf563c1746dbed,nomode,9,82b5e77da6360424,NA,0.835288,32028,/nfs/share/instances/gbd/cnf/26d8c9965d9e17f302cf563c1746dbed-bench_14778.smt2.cnf.xz,d7a5c7028b3c688c8cd856370e73b994,agile,sat,agile_2017,296914,83619,5573602,154,115574,167620,13566,0,0,0,0,0,0,171252,171991,90641,22697
35929c71b8e1e053b0d5d6d1c8ec28b0,nomode,9,77fed297d86706b4,NA,0.008047,6144,/nfs/share/instances/gbd/cnf/35929c71b8e1e053b0d5d6d1c8ec28b0-glassybp-v399-s944837607.cnf.xz,1f542a33762919f9d354f428324a822d,glassy-gen,unknown,random_2002,1862,399,27256,0,0,1862,0,0,0,0,0,0,0,918,944,260,222
8cf4f308695dcc0c29f538fe42add77d,nomode,9,fb8dd10534d82dc3,NA,13.7835,394112,/nfs/share/instances/gbd/cnf/8cf4f308695dcc0c29f538fe42add77d-bench_17175.smt2.cnf.xz,f83cd62002743371c8b185ffc987f2f8,agile,sat,agile_2017,4539830,1263248,99155871,6971,1625052,2721946,185712,0,2,1,2,0,144,2557287,2521284,1475751,392640
8f18bec2a841fde4fbe9aefda436755f,nomode,9,b80617e7e82558d2,NA,1.14451,60268,/nfs/share/instances/gbd/cnf/8f18bec2a841fde4fbe9aefda436755f-44-120443.cnf.xz,6dc5b6d7f55fe12e829759def875c84f,station-repacking,unknown,None,666333,28492,10244521,3,665010,1,1,4,2,0,9,2,1301,665013,1323,1323,665010
6302401993fc837599b84a91ccb25f7e,nomode,9,8c2b2030317190c9,NA,1.67278,63048,/nfs/share/instances/gbd/cnf/6302401993fc837599b84a91ccb25f7e-sha256__zeroOut_04__freeIn_08__seed_2.cnf.xz,3a08f1f443ae9462b48219a1f2ebffcf,cryptography,sat,None,618749,37633,23246855,2813,656,55024,120048,64368,60000,225600,90240,0,0,150221,140485,1366,8207
61c31ac32623e42b243ad50214c33b11,nomode,9,d93bf52207763581,NA,0.270582,17292,/nfs/share/instances/gbd/cnf/61c31ac32623e42b243ad50214c33b11-51-1425.cnf.xz,606ec767a27845a493c4e39a3785c078,station-repacking,unknown,None,155603,9210,2192982,1,155178,0,0,1,0,0,2,0,421,155179,425,425,155178
e73a5911a689c64ce7488155198b51c2,nomode,9,42da4f0d6d9d342d,NA,1.38639,70044,/nfs/share/instances/gbd/cnf/e73a5911a689c64ce7488155198b51c2-54-132725.cnf.xz,240f93263c981e0794263fb4b61787e6,station-repacking,unknown,None,826045,31670,12754432,3,824571,1,1,3,2,0,9,4,1451,824574,1474,1474,824571
fedfb271a300fd19a6fa7515ec419157,nomode,9,8ad708c2d7f69be5,NA,0.900043,54620,/nfs/share/instances/gbd/cnf/fedfb271a300fd19a6fa7515ec419157-50-106766.cnf.xz,07d066d35da1f43cf948c043ff604f0b,station-repacking,unknown,None,526390,25033,8049300,3,525232,1,1,4,3,0,6,1,1139,525235,1158,1158,525232
57a969c041af76b162f40f881132006b,nomode,9,45bca73e5df2af68,NA,0.341107,18256,/nfs/share/instances/gbd/cnf/57a969c041af76b162f40f881132006b-IBM_FV_2004_rule_batch_2_31_2_SAT_dat.k25.debugged.cnf.xz,9449be18dc9b3ddc408be75f3640cec5,hardware-verification,unsat,anni_2022,133932,32454,2229184,1213,101543,16239,6442,2946,1994,1088,775,1008,684,107833,105095,11177,10376
763722ba2ede25354791ebe80e7e095b,nomode,9,1bcd2754a57121cd,NA,0.151849,12348,/nfs/share/instances/gbd/cnf/763722ba2ede25354791ebe80e7e095b-bench_16875.smt2.cnf.xz,4f478fbfe9b73284f061d13158d63fd0,agile,unsat,agile_2016,54555,15341,934768,3,20530,32122,1900,0,0,0,0,0,0,31980,33360,13929,3204
ff19f2d04175882d3ed57372893159ef,nomode,9,57630b5177618243,NA,0.510948,19208,/nfs/share/instances/gbd/cnf/ff19f2d04175882d3ed57372893159ef-li-test4-97.used-as.sat04-308.cnf.xz,d483f18414d40125bbaa4a3cc226df43,circuit-minimization,unknown,industrial_2004,142491,36809,3663682,14,24558,67458,49000,1,0,0,0,0,1460,79729,87334,1464,6152
947188d1158bc81144df1aa1743f10ff,nomode,9,820404c4cc093a70,NA,0.007381,6144,/nfs/share/instances/gbd/cnf/947188d1158bc81144df1aa1743f10ff-fla-qhid-220-5.cnf.xz,bae568d3de3adef79b0bee304a3bdba2,random-planted-solution,sat,random_2018,1210,220,16943,0,0,1210,0,0,0,0,0,0,0,605,605,150,160
f50435f7fe3469d01f531b16c25cdb1b,nomode,9,2545138bd5359cf4,NA,1.04641,57528,/nfs/share/instances/gbd/cnf/f50435f7fe3469d01f531b16c25cdb1b-55-115863.cnf.xz,d3cc7aa21d863d4e6d6cac6f023a0cba,station-repacking,unknown,None,614241,27146,9423773,3,612978,1,1,5,2,0,9,5,1237,612981,1263,1263,612978
15e47231219afaaed430313b4a7b9b41,nomode,9,fb027ba8f2d9fe2e,NA,1.51674,77348,/nfs/share/instances/gbd/cnf/15e47231219afaaed430313b4a7b9b41-46-138548.cnf.xz,f5c3184c13ddd1cd47e54ba145c77cb8,station-repacking,unknown,None,910501,33403,14086817,3,908945,1,1,5,2,0,9,5,1530,908948,1556,1556,908945
