ID	max_iters	mode	hash	cpu_time_s	max_mem_kib
003154fc91d34d29ec5cf93b0bc32143	2	canon	09ae0c4e43f9f7b6	3.88433	72524
003154fc91d34d29ec5cf93b0bc32143	2	raw	baf23ad702a4c1c1	2.03111	0
003154fc91d34d29ec5cf93b0bc32143	4	canon	01464b4ee98b982d	7.3603	76816
003154fc91d34d29ec5cf93b0bc32143	4	raw	34f3f6a14491cdc7	3.77146	76680
003154fc91d34d29ec5cf93b0bc32143	6	canon	e20dd8d13bd98d4f	10.5521	79284
003154fc91d34d29ec5cf93b0bc32143	6	raw	a1ddf2ee799ba4d3	6.17794	72688
003154fc91d34d29ec5cf93b0bc32143	8	canon	94a566e43cf44edc	13.8194	77696
003154fc91d34d29ec5cf93b0bc32143	8	raw	e4c729535c0e59b9	7.63483	78364
00316e383123773ae35d3210f5396205	0	canon	cc1d5b4ef6ad68de	0.02671	0
00316e383123773ae35d3210f5396205	0	raw	cc1d5b4ef6ad68de	0.027094	0
00316e383123773ae35d3210f5396205	10	canon	ddddde62072420e3	0.177668	0
00316e383123773ae35d3210f5396205	10	raw	481daf60799368ae	0.138208	0
00316e383123773ae35d3210f5396205	1	canon	387abde66a4f2b98	0.057333	0
00316e383123773ae35d3210f5396205	1	raw	865e6c8c965bf2a0	0.043369	0
00316e383123773ae35d3210f5396205	2	canon	46f3455005758c16	0.059577	0
00316e383123773ae35d3210f5396205	2	raw	35b8a671f798aed8	0.062756	0
00316e383123773ae35d3210f5396205	4	canon	ddddde62072420e3	0.109631	0
00316e383123773ae35d3210f5396205	4	raw	8cb43c21bfe2c107	0.073899	0
00316e383123773ae35d3210f5396205	6	canon	ddddde62072420e3	0.131797	0
00316e383123773ae35d3210f5396205	6	raw	481daf60799368ae	0.096245	0
00316e383123773ae35d3210f5396205	8	canon	ddddde62072420e3	0.139726	0
00316e383123773ae35d3210f5396205	8	raw	481daf60799368ae	0.096442	0
0033baadbd48d3f880e9b5a733bd4950	0	canon	a5fb4e79941e8782	0.014638	0
0033baadbd48d3f880e9b5a733bd4950	0	raw	a5fb4e79941e8782	0.014258	0
0033baadbd48d3f880e9b5a733bd4950	10	canon	bd7e80038843fc6a	0.040477	0
0033baadbd48d3f880e9b5a733bd4950	10	raw	29865d9ee527fa44	0.022581	0
0033baadbd48d3f880e9b5a733bd4950	1	canon	bd7e80038843fc6a	0.027443	0
0033baadbd48d3f880e9b5a733bd4950	1	raw	29865d9ee527fa44	0.022534	0
