hash	mode	neigh_hop	advanced_sort	sum_sort	wlhash	stabilized_at	cpu_time_s	max_mem_kib
006282ac3d0013b911249d14c326f53d	neigh	1	0	0	b8de01ee8f746803	8	3.59591	19200
0062dc10471119b9e13da682216b190f	neigh	1	0	0	NA	NA	3.4	NA
0064aa2e16c9d4b18d32a45d3073fce9	neigh	1	0	0	NA	NA	3.3	NA
0067d012901f358831afb6d6e5f83767	neigh	1	0	0	NA	NA	0.18	NA
006be0fb3ae0a75aac0e386c2e6c4669	neigh	1	0	0	ff70b2b84caad9b9	30	173.427	187864
006c57c6c09a6e4a4402f1dd264cab15	neigh	1	0	0	NA	NA	1.9	NA
006cc1f4e081e7fd96a50a2171792f21	neigh	1	0	0	NA	NA	0.29	NA
006da0e3f4ad5b1ecd3651e66dbea36d	neigh	1	0	0	NA	NA	0.24	NA
006dcf7e3d0fa7c39b0f542ad0ec949e	neigh	1	0	0	NA	NA	2.74	NA
006e293dfc476b21c246b963c6eb16b7	neigh	1	0	0	6097e4e6fe4fd6a8	33	93.2694	109472
0071b624d91ebe408b0585f8c4e34fd9	neigh	1	0	0	967cf46bfd4f473a	7	84.8704	302152
0072b0ce5c4ab8386763d10ef88f636e	neigh	1	0	0	NA	NA	3.58	NA
0072b38614d34eb3c6ffc36aef13ee3a	neigh	1	0	0	NA	NA	3.39	NA
00784e1e1a9ae772aae7f33c1fa5fbe2	neigh	1	0	0	a0c4fdabcc106cca	3	71.8782	569600
00847fca81490df01b9e239fd6027378	neigh	1	0	0	aa08a41851ad7f17	33	75.0545	82776
0085c7242003811caf4b7eff64022e55	neigh	1	0	0	NA	NA	3.58	NA
008d1f79eec2b7712637e48aec7a63cd	neigh	1	0	0	NA	NA	2.48	NA
008d78352c3d630340e6a3ef0d7242d7	neigh	1	0	0	NA	NA	2.89	NA
008e7716c69009090ff6bd0048dc55f8	neigh	1	0	0	NA	NA	2.46	NA
008fa3f37db9759dee825665e78e2e80	neigh	1	0	0	NA	NA	2.17	NA
0091ac9434f528a4007d82d2443d2dc9	neigh	1	0	0	edf935a0885ddbe9	3	8.42041	163256
0092f19206d4641caaa3a638914bee3f	neigh	1	0	0	NA	NA	3.6	NA
0094d44002500c187e3c2d07a13bee7c	neigh	1	0	0	f642bba428ffe6f9	3	0.194224	0
009a4a6c23299b864508393ee726625a	neigh	1	0	0	f05dac6c7bc5dee1	8	1.92596	19200
00a1604721e43896a93b5329e5b38af4	neigh	1	0	0	NA	NA	2.69	NA
00a30fb1c0150fe3d6692afd2b220887	neigh	1	0	0	a434030935c584c2	18	12.0108	28160
00a62eb89afbf27e1addf8f5c437da9b	neigh	1	0	0	820643506af2637c	5	21.9698	119532
00a981f385cd209d41e1efa1f5f29bac	neigh	1	0	0	NA	NA	3.83	NA
00ae4072f9b57d5d3cfe8919aff1b776	neigh	1	0	0	NA	NA	3.49	NA
00aec3b2e38968bf8a922709e2acfccd	neigh	1	0	0	aaf92d4540264a59	3	30.4877	276596
00aefd1fc30c425075166ca051e57218	neigh	1	0	0	NA	NA	2.37	NA
00b1c27aee52d6dd9e112fa55d4cc1ca	neigh	1	0	0	NA	NA	1.52	NA
00b46ace235e3915a439c77a231a5657	neigh	1	0	0	ec07cf187733b29b	8	7.48775	28160
00b9b467c26540853360491401da61a5	neigh	1	0	0	NA	NA	0.17	NA
00bb0b4ef28ed38c49de4c54b9fabc4d	neigh	1	0	0	9f26617ada57d13f	12	4.26677	17920
00bbdbb1bc700e4c4ceb0d6e86e33c23	neigh	1	0	0	d3748c9bd674c91d	3	0.138781	0
00be4c67683c8edeca138279e13942cb	neigh	1	0	0	NA	NA	0.38	NA
00be590675417eba2bb2585790ac392d	neigh	1	0	0	83cb945a24c07e32	4	7.81437	53760
00c4c1dfa04e7cd8b7abc80a4a4f7153	neigh	1	0	0	7666951d279c9410	3	0.175174	0
00d0eef039aa1f9cf1cf2647a58fe313	neigh	1	0	0	NA	NA	0.34	NA
00d1fe07ab948b348bb3fb423b1ef40d	neigh	1	0	0	5f75539b010c6672	9	2.71879	14080
00d239e486137a4f7264adb4fb57d5ae	neigh	1	0	0	66c88c5faca06e8f	6	0.09604	0
00d25e6106c5c09bb5d8d0f7eae7385a	neigh	1	0	0	NA	NA	0.36	NA
00d3338cd6cdfa099ff29f036c77d93d	neigh	1	0	0	NA	NA	NA	NA
