id	mode	max_iters	wlhash	stabilized_at	cpu_time_s	max_mem_kib
00275f3018d50ba38867268739dfc44f	none	12	7d70a2e3d8c2ae0a	5	0.037666	0
00275f3018d50ba38867268739dfc44f	none	2	2018759830f90ade	NA	0.028611	0
00275f3018d50ba38867268739dfc44f	none	3	644d37843d3f9c74	NA	0.038599	0
00275f3018d50ba38867268739dfc44f	none	4	a65c5c4b5a7c25a4	NA	0.034501	0
00275f3018d50ba38867268739dfc44f	none	5	7d70a2e3d8c2ae0a	5	0.056094	0
00275f3018d50ba38867268739dfc44f	none	6	7d70a2e3d8c2ae0a	5	0.037973	0
00275f3018d50ba38867268739dfc44f	none	7	7d70a2e3d8c2ae0a	5	0.038971	0
00275f3018d50ba38867268739dfc44f	none	8	7d70a2e3d8c2ae0a	5	0.038703	0
00275f3018d50ba38867268739dfc44f	none	9	7d70a2e3d8c2ae0a	5	0.036974	0
002a0330958a14deb23dcc84b5489e8a	none	1	bd97b9119d1a13ee	NA	4.58578	179980
002a0330958a14deb23dcc84b5489e8a	none	10	6d6eee036499dc50	NA	26.3622	222816
002a0330958a14deb23dcc84b5489e8a	none	11	7abd0119d30a83b2	NA	28.6287	222864
002a0330958a14deb23dcc84b5489e8a	none	12	856a9f75d0c4f26f	NA	30.3629	222820
002a0330958a14deb23dcc84b5489e8a	none	2	7fa15e589df54818	NA	7.328	208736
002a0330958a14deb23dcc84b5489e8a	none	3	99a910b6ab71845c	NA	10.0635	207456
002a0330958a14deb23dcc84b5489e8a	none	4	460380ed0a9f3ef1	NA	12.7768	214456
002a0330958a14deb23dcc84b5489e8a	none	5	48156f1cfb535ce9	NA	15.2157	221812
002a0330958a14deb23dcc84b5489e8a	none	6	eca299914bb969f1	NA	17.3702	223084
002a0330958a14deb23dcc84b5489e8a	none	7	8d6d2a49fa8e5f0a	NA	19.6077	222216
002a0330958a14deb23dcc84b5489e8a	none	8	299dbfc29ddbeece	NA	22.1558	219052
002a0330958a14deb23dcc84b5489e8a	none	9	2d5784aef75404d5	NA	23.7552	222912
002bed2572e6e326815e674f288de8b4	none	1	0d9e74e2249987d0	NA	0.077212	0
002bed2572e6e326815e674f288de8b4	none	10	db51a701ea60d8af	NA	0.292853	0
002bed2572e6e326815e674f288de8b4	none	11	79e2950a6168984e	NA	0.330501	0
002bed2572e6e326815e674f288de8b4	none	12	776ae82459375c6f	NA	0.358619	0
002bed2572e6e326815e674f288de8b4	none	2	2551506193ab16d0	NA	0.111208	0
002bed2572e6e326815e674f288de8b4	none	3	0bd5a4f3698a3447	NA	0.155272	0
002bed2572e6e326815e674f288de8b4	none	4	c88435b31abe21f6	NA	0.13962	0
002bed2572e6e326815e674f288de8b4	none	5	868b7b888f6e2fb4	NA	0.159467	0
002bed2572e6e326815e674f288de8b4	none	6	dec33f3b70bbf820	NA	0.180502	0
002bed2572e6e326815e674f288de8b4	none	7	6fdea2ac618e2c30	NA	0.216917	0
002bed2572e6e326815e674f288de8b4	none	8	facf7455e5d3101d	NA	0.2413	0
002bed2572e6e326815e674f288de8b4	none	9	e294b28e1084adf8	NA	0.27087	0
003154fc91d34d29ec5cf93b0bc32143	none	1	3b365205a86b1ea9	NA	1.31819	0
003154fc91d34d29ec5cf93b0bc32143	none	10	ca5e6c4553d276c7	NA	9.11578	75512
003154fc91d34d29ec5cf93b0bc32143	none	11	e09868b1335b755a	NA	9.65567	77792
003154fc91d34d29ec5cf93b0bc32143	none	12	ea9192238fd62b2c	NA	10.6334	80316
003154fc91d34d29ec5cf93b0bc32143	none	2	baf23ad702a4c1c1	NA	2.05712	0
003154fc91d34d29ec5cf93b0bc32143	none	3	c74de08f0dfc5a6b	NA	2.97732	0
003154fc91d34d29ec5cf93b0bc32143	none	4	34f3f6a14491cdc7	NA	3.73728	76056
003154fc91d34d29ec5cf93b0bc32143	none	5	a664ad7d70b136b2	NA	4.66857	75120
003154fc91d34d29ec5cf93b0bc32143	none	6	a1ddf2ee799ba4d3	NA	5.65313	75284
003154fc91d34d29ec5cf93b0bc32143	none	7	1a3aa1bc057463cd	NA	6.51558	75944
003154fc91d34d29ec5cf93b0bc32143	none	8	e4c729535c0e59b9	NA	7.56112	77128
003154fc91d34d29ec5cf93b0bc32143	none	9	e94f942de9af8d83	NA	8.1674	76960
00316e383123773ae35d3210f5396205	none	1	865e6c8c965bf2a0	NA	0.030097	0
00316e383123773ae35d3210f5396205	none	10	481daf60799368ae	5	0.088318	0
00316e383123773ae35d3210f5396205	none	11	481daf60799368ae	5	0.088104	0
00316e383123773ae35d3210f5396205	none	12	481daf60799368ae	5	0.089245	0
00316e383123773ae35d3210f5396205	none	2	35b8a671f798aed8	NA	0.043299	0
00316e383123773ae35d3210f5396205	none	3	4cf3ec535b788993	NA	0.060804	0
00316e383123773ae35d3210f5396205	none	4	8cb43c21bfe2c107	NA	0.073775	0
00316e383123773ae35d3210f5396205	none	5	481daf60799368ae	5	0.09241	0
00316e383123773ae35d3210f5396205	none	6	481daf60799368ae	5	0.089947	0
00316e383123773ae35d3210f5396205	none	7	481daf60799368ae	5	0.087834	0
00316e383123773ae35d3210f5396205	none	8	481daf60799368ae	5	0.092586	0
00316e383123773ae35d3210f5396205	none	9	481daf60799368ae	5	0.08928	0
0033baadbd48d3f880e9b5a733bd4950	none	1	29865d9ee527fa44	1	0.020832	0
0033baadbd48d3f880e9b5a733bd4950	none	10	29865d9ee527fa44	1	0.018842	0
0033baadbd48d3f880e9b5a733bd4950	none	11	29865d9ee527fa44	1	0.020798	0
0033baadbd48d3f880e9b5a733bd4950	none	12	29865d9ee527fa44	1	0.02005	0
0033baadbd48d3f880e9b5a733bd4950	none	2	29865d9ee527fa44	1	0.021414	0
0033baadbd48d3f880e9b5a733bd4950	none	3	29865d9ee527fa44	1	0.020949	0
0033baadbd48d3f880e9b5a733bd4950	none	4	29865d9ee527fa44	1	0.020939	0
0033baadbd48d3f880e9b5a733bd4950	none	5	29865d9ee527fa44	1	0.020484	0
0033baadbd48d3f880e9b5a733bd4950	none	6	29865d9ee527fa44	1	0.02073	0
0033baadbd48d3f880e9b5a733bd4950	none	7	29865d9ee527fa44	1	0.020082	0
0033baadbd48d3f880e9b5a733bd4950	none	8	29865d9ee527fa44	1	0.019216	0
0033baadbd48d3f880e9b5a733bd4950	none	9	29865d9ee527fa44	1	0.019006	0
0035666407d4ccb5082630045d60a5fe	none	1	f0ada0219c44ba08	NA	0.051616	0
0035666407d4ccb5082630045d60a5fe	none	10	dff16a564dc8782d	3	0.098828	0
0035666407d4ccb5082630045d60a5fe	none	11	dff16a564dc8782d	3	0.096529	0
0035666407d4ccb5082630045d60a5fe	none	12	dff16a564dc8782d	3	0.100573	0
0035666407d4ccb5082630045d60a5fe	none	2	8a17c91d88371402	NA	0.073166	0
0035666407d4ccb5082630045d60a5fe	none	3	dff16a564dc8782d	3	0.103605	0
0035666407d4ccb5082630045d60a5fe	none	4	dff16a564dc8782d	3	0.098681	0
0035666407d4ccb5082630045d60a5fe	none	5	dff16a564dc8782d	3	0.10243	0
0035666407d4ccb5082630045d60a5fe	none	6	dff16a564dc8782d	3	0.101914	0
0035666407d4ccb5082630045d60a5fe	none	7	dff16a564dc8782d	3	0.0988	0
0035666407d4ccb5082630045d60a5fe	none	8	dff16a564dc8782d	3	0.098587	0
0035666407d4ccb5082630045d60a5fe	none	9	dff16a564dc8782d	3	0.099082	0
0038cea06eae4c3234b7bb65d9a8497c	none	1	bd2949ddb4ef4fd4	NA	0.059857	0
0038cea06eae4c3234b7bb65d9a8497c	none	10	86fe91bc55cad0c4	3	0.112685	0
0038cea06eae4c3234b7bb65d9a8497c	none	11	86fe91bc55cad0c4	3	0.113597	0
0038cea06eae4c3234b7bb65d9a8497c	none	12	86fe91bc55cad0c4	3	0.116226	0
0038cea06eae4c3234b7bb65d9a8497c	none	2	eb723d591def2278	NA	0.083597	0
0038cea06eae4c3234b7bb65d9a8497c	none	3	86fe91bc55cad0c4	3	0.109214	0
0038cea06eae4c3234b7bb65d9a8497c	none	4	86fe91bc55cad0c4	3	0.112023	0
0038cea06eae4c3234b7bb65d9a8497c	none	5	86fe91bc55cad0c4	3	0.110051	0
0038cea06eae4c3234b7bb65d9a8497c	none	6	86fe91bc55cad0c4	3	0.114875	0
0038cea06eae4c3234b7bb65d9a8497c	none	7	86fe91bc55cad0c4	3	0.117426	0
0038cea06eae4c3234b7bb65d9a8497c	none	8	86fe91bc55cad0c4	3	0.116226	0
0038cea06eae4c3234b7bb65d9a8497c	none	9	86fe91bc55cad0c4	3	0.112466	0
003a77d2aa15a5f93aa2cfe79b986c9e	none	1	497c6a761cb778f8	NA	0.229305	0
