hash	mode	wlhash	stabilized_at	cpu_time_s	max_mem_kib	local	isohash	family	result	clauses	variables	bytes	cls1	cls2	cls3	cls4	cls5	cls6	cls7	cls8	cls9	cls10p	horn	invhorn	positive	negative
000a41cdca43be89ed62ea3abf2d0b64	adv	8817ec1923525b06	12	41.0822	229208	/nfs/share/instances/gbd/cnf/000a41cdca43be89ed62ea3abf2d0b64-snw_13_9_pre.cnf.xz	bb3b6ceaeee2d5e9fd8e1066389a8a94	sorting-networks	sat	830517	24517	16343754	0	101968	544762	183690	0	0	6	0	0	91	680173	110547	4244	58680
000e4e0db67e27083649c20a2a3f761b	adv	94844a435ed1faea	4	91.7969	1401660	/nfs/share/instances/gbd/cnf/000e4e0db67e27083649c20a2a3f761b-unif-k5-r16.0-v250000-c4000000-S2840568844400290198.cnf.xz	0e00b2eed7d862a9322e74aff1d2eb36	uniform-random	sat	4000000	250000	149104452	0	0	0	0	4000000	0	0	0	0	0	749155	750175	125491	124936
00107d84f57e2371476a7b2cabe0b351	adv	a8658ee04ed8701b	74	667.019	798184	/nfs/share/instances/gbd/cnf/00107d84f57e2371476a7b2cabe0b351-sudoku-N30-18.cnf.xz	74869413385b1be800a65bb6252cd90d	sudoku	unsat	2262659	841990	45772665	657	1531740	521614	101500	774	17280	0	0	89064	30	2031366	882190	106057	804300
001304ba2e4e8adbd179aa3d8acb697b	adv	6d9a2b4a9b19dc5e	5	0.026878	0	/nfs/share/instances/gbd/cnf/001304ba2e4e8adbd179aa3d8acb697b-x9-03065.sat.sanitized.cnf.xz	1d8c6a1369f306c697207991a8fd752a	hamiltonian	unknown	1347	150	15136	0	1227	0	27	66	27	0	0	0	0	1227	120	120	1227
001344c9b3cb1626af1c7c35155cf26a	adv	387398b6db8f4d19	NA	1452.91	1369828	/nfs/share/instances/gbd/cnf/001344c9b3cb1626af1c7c35155cf26a-bench_13439.smt2.cnf.xz	72b1b54fb940ce8eb1855bbcd8d4a750	agile	unsat	4751686	1313245	108797045	1572	1204899	3468194	76938	1	0	3	55	0	24	2099472	3332928	706329	703153
0020aa0c69379226948904ad455b6c09	adv	1dc57ba8b2339b4f	3	0.085909	0	/nfs/share/instances/gbd/cnf/0020aa0c69379226948904ad455b6c09-unif-k7-r89-v45-c4005-S179716588-02.UNSAT.shuffled.cnf.xz	7a6379702cd1a466bc7855c1fd39c502	uniform-random	unsat	4005	45	99357	0	0	0	0	0	0	4005	0	0	0	231	265	38	36
00213e27dabcf679205144f3dde5d37e	adv	75d0e0dec90793fd	3	0.096259	0	/nfs/share/instances/gbd/cnf/00213e27dabcf679205144f3dde5d37e-unif-p12-k5-r21.117-v250-c5279-S8618839184587418381.cnf.xz	0afa13deb8144c4a2a366fc314fed25a	uniform-random	sat	5279	250	117580	0	0	0	0	5279	0	0	0	0	0	1007	1018	171	174
0022f125b13bd7ccc91e793431c67a52	adv	0199b25a47d2b690	13	147.149	764076	/nfs/share/instances/gbd/cnf/0022f125b13bd7ccc91e793431c67a52-Kakuro-easy-048-ext.xml.hg_4.cnf.xz	f29b0ffa0d1e3681bd2df2ad53f73afa	hypertree-decomposition	sat	2786994	41874	64056109	84	60438	1164744	1561728	0	0	0	0	0	0	1918728	341670	3738	11760
0025a06f00f6e467f7cf4ef9e649b2a7	adv	31c4689dd616263e	40	51.658	91480	/nfs/share/instances/gbd/cnf/0025a06f00f6e467f7cf4ef9e649b2a7-bench_15721.smt2.cnf.xz	d702bb664671ea32cfe33b04ed2acf99	agile	unknown	297058	84922	5481082	389	113715	170502	12452	0	0	0	0	0	0	170810	167913	98498	24262
00260e67c792062bc3e10e6b94522101	adv	edf8274d724e3b72	24	88.8834	216404	/nfs/share/instances/gbd/cnf/00260e67c792062bc3e10e6b94522101-46-137775.cnf.xz	b43d7a0abfd9b9ecc7c8cdf07df14242	station-repacking	unknown	889030	32971	13747752	3	887493	1	1	5	2	0	9	5	1511	887496	1537	1537	887493
